09:07:20.768 -> timestamp,accel_x,accel_y,accel_z,sound_level
09:07:47.564 -> 28398,0.009766,-1.011475,-0.004150,5
09:07:47.662 -> 28498,0.009888,-1.011841,-0.004639,7
09:07:47.794 -> 28598,0.009155,-1.011475,-0.004883,4
09:07:47.894 -> 28698,0.009644,-1.011230,-0.004639,17
09:07:47.992 -> 28798,0.010132,-1.010742,-0.005371,13
09:07:48.092 -> 28898,0.009766,-1.011108,-0.003906,6
09:07:48.192 -> 28998,0.009521,-1.011597,-0.004883,23
09:07:48.291 -> 29098,0.009521,-1.011108,-0.006226,5
09:07:48.389 -> 29198,0.009277,-1.010620,-0.004639,12
09:07:48.488 -> 29298,0.009521,-1.010620,-0.005127,4
09:07:48.586 -> 29398,0.010132,-1.010376,-0.004761,3
09:07:48.684 -> 29498,0.010010,-1.010986,-0.004150,4
09:07:48.782 -> 29598,0.009033,-1.010620,-0.004517,4
09:07:48.881 -> 29698,0.008789,-1.010864,-0.005371,3
09:07:48.980 -> 29798,0.009644,-1.010986,-0.004639,2
09:07:49.080 -> 29898,0.009521,-1.010376,-0.004517,2
09:07:49.180 -> 29998,0.009766,-1.011108,-0.005371,9
09:07:49.279 -> 30098,0.009033,-1.010864,-0.005249,4
09:07:49.378 -> 30198,0.009644,-1.011108,-0.003906,5
09:07:49.476 -> 30298,0.009888,-1.010742,-0.004639,10
09:07:49.576 -> 30398,0.009399,-1.011230,-0.005005,4
09:07:49.676 -> 30498,0.009888,-1.010986,-0.004639,3
09:07:49.775 -> 30598,0.008911,-1.011353,-0.004272,3
09:07:49.873 -> 30698,0.008301,-1.010864,-0.005127,2
09:07:49.973 -> 30798,0.009888,-1.011353,-0.004761,1
09:07:50.073 -> 30898,0.008789,-1.011230,-0.005249,1
09:07:50.172 -> 30998,0.008911,-1.010254,-0.004761,2
09:07:50.269 -> 31098,0.008545,-1.010620,-0.004883,24
09:07:50.368 -> 31198,0.009155,-1.011353,-0.005249,4
09:07:50.467 -> 31298,0.009766,-1.010742,-0.004883,4
09:07:50.566 -> 31398,0.009277,-1.010986,-0.005615,1
09:07:50.664 -> 31498,0.010010,-1.010132,-0.005249,7
09:07:50.795 -> 31598,0.010132,-1.010742,-0.004395,10
09:07:50.893 -> 31698,0.009521,-1.011475,-0.006104,11
09:07:50.992 -> 31798,0.008911,-1.014771,-0.006104,6
09:07:51.092 -> 31898,0.010498,-1.011353,-0.007935,51
09:07:51.192 -> 31998,0.011230,-1.007080,-0.002930,252
09:07:51.291 -> 32098,0.009155,-1.011597,-0.005127,24
09:07:51.389 -> 32198,0.009521,-1.011108,-0.005615,5
09:07:51.488 -> 32298,0.009399,-1.010376,-0.005005,1
09:07:51.587 -> 32398,0.009277,-1.011108,-0.004395,291
09:07:51.686 -> 32498,0.009888,-1.010376,-0.004761,21
09:07:51.785 -> 32598,0.009399,-1.010864,-0.004517,113
09:07:51.884 -> 32698,0.009155,-1.011353,-0.005249,22
09:07:51.983 -> 32798,0.009644,-1.012207,-0.005615,41
09:07:52.082 -> 32898,0.009399,-1.011108,-0.004639,9
09:07:52.180 -> 32998,0.008301,-1.010376,-0.004883,11
09:07:52.279 -> 33098,0.009766,-1.010498,-0.004761,10
09:07:52.379 -> 33198,0.011108,-1.009033,-0.006714,48
09:07:52.477 -> 33298,0.008423,-1.009521,-0.004761,12
09:07:52.577 -> 33398,0.009644,-1.011841,-0.004517,4
09:07:52.676 -> 33498,0.009766,-1.010620,-0.004028,4
09:07:52.774 -> 33598,0.009521,-1.010010,-0.004395,3
09:07:52.873 -> 33698,0.009644,-1.011475,-0.005005,5
09:07:52.971 -> 33798,0.009399,-1.010742,-0.004272,4
09:07:53.069 -> 33898,0.010254,-1.011108,-0.004272,3
09:07:53.166 -> 33998,0.010498,-1.010010,-0.003906,5
09:07:53.265 -> 34098,0.008301,-1.011597,-0.005127,4
09:07:53.362 -> 34198,0.009155,-1.009644,-0.004761,17
09:07:53.493 -> 34298,0.009644,-1.011841,-0.004639,8
09:07:53.592 -> 34398,0.009277,-1.010742,-0.005249,8
09:07:53.692 -> 34498,0.009644,-1.010986,-0.005249,9
09:07:53.792 -> 34598,0.008667,-1.009521,-0.004883,5
09:07:53.891 -> 34698,0.010132,-1.010742,-0.004395,6
09:07:53.990 -> 34798,0.009766,-1.010254,-0.005371,1
09:07:54.090 -> 34898,0.009644,-1.010620,-0.004517,3
09:07:54.188 -> 34998,0.009277,-1.012085,-0.005615,3
09:07:54.287 -> 35098,0.009033,-1.010742,-0.005127,3
